City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kargasok,100,RU,1585526726,92.0,59.06,80.86,1.83,6.11
Bay Roberts,90,CA,1585526726,100.0,47.6,-53.26,-1.11,12.3
Marzuq,3,YE,1585526726,45.0,14.4,46.47,22.36,2.02
Kysyl-Syr,97,RU,1585526727,96.0,63.9,122.76,-7.63,2.33
Ponta do Sol,20,PT,1585526727,77.0,32.67,-17.1,16.0,2.6
Mayo,1,US,1585526727,87.0,38.89,-76.51,19.44,2.1
Isangel,98,VU,1585526728,87.0,-19.55,169.27,25.17,8.53
Itaituba,100,BR,1585526728,94.0,-4.28,-55.98,25.72,0.85
Laas,90,IT,1585526728,52.0,46.62,10.7,5.0,3.1
Talcahuano,0,CL,1585526728,59.0,-36.72,-73.12,16.0,6.2
Saint-François,90,FR,1585526729,93.0,46.42,3.91,3.0,1.5
Iqaluit,90,CA,1585526729,77.0,63.75,-68.51,-14.0,1.0
Florø,85,NO,1585526729,86.0,61.6,5.03,4.0,6.7
Payo,100,ID,1585526730,85.0,-3.75,103.64,23.61,0.47
Lixouri,3,GR,1585526730,92.0,38.2,20.43,7.78,0.84
Bundaberg,40,AU,1585526530,69.0,-24.85,152.35,26.0,3.1
Wasilla,1,US,1585526731,25.0,61.58,-149.44,0.0,14.9
Cockburn Town,7,TC,1585526731,81.0,21.46,-71.14,25.26,8.78
Bosaso,1,SO,1585526731,73.0,11.28,49.18,27.23,1.99
Gisenyi,40,RW,1585526731,45.0,-1.7,29.26,17.19,0.17
Lusambo,21,CD,1585526732,81.0,-4.97,23.45,20.6,0.35
Birao,88,CF,1585526732,14.0,10.28,22.79,26.27,3.62
Heihe,20,CN,1585526732,32.0,50.24,127.49,5.0,2.0
Gayéri,55,BF,1585526458,11.0,12.65,0.49,30.22,3.38
Sirte,94,LY,1585526733,72.0,31.21,16.59,17.48,6.73
Mutoko,40,ZW,1585526542,66.0,-17.4,32.23,15.2,0.72
Kerrville,90,US,1585526735,24.0,30.05,-99.14,22.22,4.1
Nago,1,JP,1585526735,78.0,26.59,127.98,23.0,3.6
Altagracia de Orituco,13,VE,1585526735,74.0,9.86,-66.38,22.94,3.59
Ushtobe,0,KZ,1585526736,78.0,45.25,77.98,-1.16,4.72
Den Helder,75,NL,1585526736,64.0,52.96,4.76,5.0,2.6
Korsholm,51,FI,1585526737,85.0,63.11,21.68,-3.33,1.0
Khovd,95,MN,1585526737,69.0,48.01,91.64,-7.26,1.24
Maple Creek,39,CA,1585526737,37.0,49.92,-109.48,11.23,5.79
Zabid,31,YE,1585526737,80.0,14.2,43.32,26.44,2.75
Sitka,90,US,1585526738,47.0,57.05,-135.33,2.0,7.2
Ajdabiya,79,LY,1585526739,50.0,30.76,20.23,19.86,4.34
Huarmey,100,PE,1585526739,70.0,-10.07,-78.15,24.41,3.21
Namtsy,40,RU,1585526739,78.0,62.72,129.67,-11.0,1.0
Hermiston,1,US,1585526740,34.0,45.84,-119.29,19.0,6.7
Wewak,100,PG,1585526740,73.0,-3.55,143.63,28.1,3.09
Aktobe,32,KZ,1585526740,73.0,50.28,57.21,-3.0,2.0
Ferkessédougou,67,CI,1585526740,62.0,9.6,-5.2,26.23,3.28
Goderich,93,CA,1585526696,83.0,43.75,-81.72,8.89,9.18
Borogontsy,100,RU,1585526741,94.0,62.67,131.17,-11.01,0.69
Olinda,75,BR,1585526568,94.0,-8.01,-34.86,26.0,2.1
Esfarāyen,75,IR,1585526741,87.0,37.08,57.51,9.0,2.34
Kendari,88,ID,1585526742,80.0,-3.94,122.5,27.22,1.84
Kununurra,50,AU,1585526742,69.0,-15.77,128.73,28.0,1.5
Saint-Félicien,90,CA,1585526742,69.0,48.65,-72.45,4.0,11.3
Ciudad Bolivar,79,VE,1585526743,49.0,8.12,-63.55,30.61,7.52
San Quintín,51,MX,1585526743,65.0,30.48,-115.95,16.13,10.71
Kamenka,64,RU,1585526743,58.0,51.32,42.77,2.78,0.89
Contai,0,IN,1585526744,58.0,21.78,87.75,26.32,2.91
Aktash,0,RU,1585526744,63.0,50.3,87.73,-20.39,1.71
Neuquén,0,AR,1585526675,32.0,-38.95,-68.06,18.4,4.18
Thinadhoo,88,MV,1585526526,60.0,0.53,72.93,28.6,2.62
Najrān,3,SA,1585526507,34.0,17.49,44.13,26.0,2.6
Omboué,92,GA,1585526746,87.0,-1.57,9.26,26.68,2.05
Keti Bandar,0,PK,1585526746,73.0,24.14,67.45,22.83,3.06
Arlit,50,NE,1585526747,17.0,18.74,7.39,28.82,2.27
Morristown,1,US,1585526747,32.0,36.21,-83.29,23.0,4.6
Conceição do Araguaia,52,BR,1585526748,66.0,-8.26,-49.26,30.0,1.5
Dudinka,75,RU,1585526748,92.0,69.41,86.18,-6.0,8.0
Baruun-Urt,98,MN,1585526748,59.0,46.68,113.28,-0.81,7.95
Sakakah,0,SA,1585526748,33.0,29.97,40.21,15.0,4.6
Visby,18,SE,1585526749,55.0,57.64,18.3,2.78,5.1
Yeppoon,12,AU,1585526749,69.0,-23.13,150.73,26.0,3.6
Talnakh,75,RU,1585526750,92.0,69.49,88.4,-6.0,8.0
Ereymentau,7,KZ,1585526750,93.0,51.62,73.1,-6.96,3.94
Nuuk,100,GL,1585526526,86.0,64.18,-51.72,-2.0,13.4
Corinth,20,GR,1585526751,87.0,37.94,22.96,11.67,1.19
Dunedin,100,NZ,1585526751,93.0,-45.87,170.5,12.78,7.55
Xingtai,77,CN,1585526752,66.0,37.06,114.49,8.02,3.65
Vilyuysk,96,RU,1585526510,96.0,63.76,121.62,-7.2,3.3
Yingkou,0,CN,1585526752,52.0,40.66,122.23,7.35,6.83
Batagay-Alyta,80,RU,1585526753,78.0,67.8,130.41,-17.6,1.19
Elbistan,92,TR,1585526754,50.0,38.21,37.2,3.41,2.35
Nizwá,29,OM,1585526754,51.0,22.93,57.53,20.36,2.4
Malanje,86,AO,1585526755,68.0,-9.54,16.34,17.05,0.6
Port Hardy,75,CA,1585526487,61.0,50.7,-127.42,9.0,4.1
Manggar,89,ID,1585526755,84.0,-2.88,108.27,27.18,3.26
Brae,55,GB,1585526756,81.0,60.4,-1.35,7.0,7.7
Mitchell,1,US,1585526699,30.0,43.71,-98.03,13.0,1.5
Yichun,90,CN,1585526756,57.0,47.7,128.9,4.18,1.55
Biryusinsk,99,RU,1585526756,94.0,55.96,97.82,-3.22,4.11
Outjo,49,NA,1585526757,93.0,-20.12,16.15,18.0,1.0
Port Hedland,4,AU,1585526757,83.0,-20.32,118.57,28.0,2.1
Vytegra,94,RU,1585526757,88.0,61.01,36.45,-4.22,1.05
Kungurtug,88,RU,1585526758,78.0,50.6,97.52,-13.03,0.48
Quelimane,13,MZ,1585526758,78.0,-17.88,36.89,25.0,1.0
Mount Gambier,40,AU,1585526758,100.0,-37.83,140.77,13.0,4.1
Matiri,99,TZ,1585526758,70.0,-10.75,34.9,17.16,0.8
San Cristobal,40,VE,1585526759,54.0,7.77,-72.22,29.0,3.1
Presidencia Roque Sáenz Peña,36,AR,1585526759,79.0,-26.79,-60.44,25.05,2.29
Comodoro Rivadavia,20,AR,1585526494,71.0,-45.87,-67.5,13.0,2.1
Punta Cardon,8,VE,1585526759,78.0,11.66,-70.22,26.1,11.92
Yelizovo,57,RU,1585526624,89.0,53.19,158.38,0.0,3.0
Gobabis,14,NA,1585526760,88.0,-22.45,18.97,18.0,1.0
Yerbogachën,100,RU,1585526760,92.0,61.28,108.01,-7.92,5.84
Zaysan,3,KZ,1585526761,78.0,47.47,84.87,-7.68,0.84
San Lorenzo,20,PY,1585526761,70.0,-25.33,-57.53,30.0,2.6
Oskaloosa,40,US,1585526761,47.0,41.3,-92.64,15.0,11.8
Bang Saphan,20,TH,1585526762,100.0,11.21,99.51,24.0,1.0
Gizo Government Station,60,SB,1585526762,65.0,-8.1,156.84,30.59,2.12
Chitral,100,PK,1585526762,30.0,35.85,71.79,6.78,0.97
Ondjiva,100,AO,1585526763,65.0,-17.07,15.73,19.76,3.65
Caceres,99,ES,1585526764,73.0,39.52,-6.37,11.11,0.45
Aswān,0,EG,1585526764,15.0,24.09,32.91,20.0,3.1
Xining,94,CN,1585526764,32.0,36.62,101.77,2.57,0.47
Monrovia,20,LR,1585526765,94.0,6.3,-10.8,24.0,1.06
Evanston,90,US,1585526765,65.0,42.04,-87.69,8.33,7.7
Shache,61,CN,1585526766,22.0,38.42,77.24,9.84,2.64
Tete,29,MZ,1585526766,83.0,-16.16,33.59,22.0,1.43
Igarka,100,RU,1585526766,97.0,67.47,86.58,-1.41,6.6
Sørland,100,NO,1585526767,88.0,67.67,12.69,-0.75,7.87
Imbituba,44,BR,1585526767,69.0,-28.24,-48.67,25.0,2.6
Richmond,75,US,1585526315,48.0,37.55,-77.46,29.0,6.7
Usevya,69,TZ,1585526767,70.0,-7.1,31.23,19.68,0.63
Sayyan,0,YE,1585526768,30.0,15.17,44.32,13.53,1.51
Portmarnock,3,IE,1585526768,78.0,53.42,-6.14,3.33,4.1
Portobelo,20,PA,1585526768,51.0,9.55,-79.65,30.0,6.7
Mollendo,39,PE,1585526768,74.0,-17.02,-72.01,21.9,3.26
Jequié,15,BR,1585526769,85.0,-13.86,-40.08,22.65,2.18
Ahipara,2,NZ,1585526769,64.0,-35.17,173.17,19.72,4.31
Puerto Peñasco,19,MX,1585526769,60.0,31.32,-113.53,20.0,3.13
Shingū,75,JP,1585526769,93.0,33.73,135.98,11.0,1.0
Dhidhdhoo,87,MV,1585526769,67.0,6.88,73.1,28.13,1.85
